index_name,symbol,start_date,end_date
nifty200,360ONE,01-01-2010,31-12-2099
nifty200,ABB,01-01-2010,31-12-2099
nifty200,APLAPOLLO,01-01-2010,31-12-2099
nifty200,AUBANK,01-01-2010,31-12-2099
nifty200,ADANIENSOL,01-01-2010,31-12-2099
nifty200,ADANIENT,01-01-2010,31-12-2099
nifty200,ADANIGREEN,01-01-2010,31-12-2099
nifty200,ADANIPORTS,01-01-2010,31-12-2099
nifty200,ADANIPOWER,01-01-2010,31-12-2099
nifty200,ATGL,01-01-2010,31-12-2099
nifty200,ABCAPITAL,01-01-2010,31-12-2099
nifty200,ALKEM,01-01-2010,31-12-2099
nifty200,AMBUJACEM,01-01-2010,31-12-2099
nifty200,APOLLOHOSP,01-01-2010,31-12-2099
nifty200,ASHOKLEY,01-01-2010,31-12-2099
nifty200,ASIANPAINT,01-01-2010,31-12-2099
nifty200,ASTRAL,01-01-2010,31-12-2099
nifty200,AUROPHARMA,01-01-2010,31-12-2099
nifty200,DMART,01-01-2010,31-12-2099
nifty200,AXISBANK,01-01-2010,31-12-2099
nifty200,BSE,01-01-2010,31-12-2099
nifty200,BAJAJ-AUTO,01-01-2010,31-12-2099
nifty200,BAJFINANCE,01-01-2010,31-12-2099
nifty200,BAJAJFINSV,01-01-2010,31-12-2099
nifty200,BAJAJHLDNG,01-01-2010,31-12-2099
nifty200,BANKBARODA,01-01-2010,31-12-2099
nifty200,BANKINDIA,01-01-2010,31-12-2099
nifty200,BDL,01-01-2010,31-12-2099
nifty200,BEL,01-01-2010,31-12-2099
nifty200,BHARATFORG,01-01-2010,31-12-2099
nifty200,BHEL,01-01-2010,31-12-2099
nifty200,BPCL,01-01-2010,31-12-2099
nifty200,BHARTIARTL,01-01-2010,31-12-2099
nifty200,GROWW,01-01-2010,31-12-2099
nifty200,BIOCON,01-01-2010,31-12-2099
nifty200,BLUESTARCO,01-01-2010,31-12-2099
nifty200,BOSCHLTD,01-01-2010,31-12-2099
nifty200,BRITANNIA,01-01-2010,31-12-2099
nifty200,CGPOWER,01-01-2010,31-12-2099
nifty200,CANBK,01-01-2010,31-12-2099
nifty200,CHOLAFIN,01-01-2010,31-12-2099
nifty200,CIPLA,01-01-2010,31-12-2099
nifty200,COALINDIA,01-01-2010,31-12-2099
nifty200,COCHINSHIP,01-01-2010,31-12-2099
nifty200,COFORGE,01-01-2010,31-12-2099
nifty200,COLPAL,01-01-2010,31-12-2099
nifty200,CONCOR,01-01-2010,31-12-2099
nifty200,COROMANDEL,01-01-2010,31-12-2099
nifty200,CUMMINSIND,01-01-2010,31-12-2099
nifty200,DLF,01-01-2010,31-12-2099
nifty200,DABUR,01-01-2010,31-12-2099
nifty200,DIVISLAB,01-01-2010,31-12-2099
nifty200,DIXON,01-01-2010,31-12-2099
nifty200,DRREDDY,01-01-2010,31-12-2099
nifty200,EICHERMOT,01-01-2010,31-12-2099
