index_name,symbol,start_date,end_date
nifty50,ABB,01-01-2010,01-10-2010
nifty50,ACC,01-01-2010,29-09-2017
nifty50,ADANIENT,30-09-2022,31-12-2099
nifty50,ADANIPORTS,28-09-2015,31-12-2099
nifty50,AMBUJACEM,01-01-2010,02-04-2018
nifty50,APOLLOHOSP,31-03-2022,31-12-2099
nifty50,ASIANPAINT,27-04-2012,31-12-2099
nifty50,AUROPHARMA,01-04-2016,28-09-2018
nifty50,AXISBANK,01-01-2010,31-12-2099
nifty50,BAJAJ-AUTO,01-10-2010,31-12-2099
nifty50,BAJAJFINSV,02-04-2018,31-12-2099
nifty50,BAJFINANCE,29-09-2017,31-12-2099
nifty50,BANKBARODA,27-04-2012,29-09-2017
nifty50,BEL,30-09-2024,31-12-2099
nifty50,BHARTIARTL,01-01-2010,31-12-2099
nifty50,BHEL,01-01-2010,31-03-2017
nifty50,BOSCHLTD,29-05-2015,28-09-2018
nifty50,BPCL,01-01-2010,28-03-2025
nifty50,BRITANNIA,29-03-2019,30-09-2025
nifty50,CAIRN,01-01-2010,01-04-2016
nifty50,CIPLA,01-01-2010,31-12-2099
nifty50,COALINDIA,10-10-2011,31-12-2099
nifty50,DIVISLAB,31-03-2021,30-09-2024
nifty50,DLF,01-01-2010,27-03-2015
nifty50,DRREDDY,01-10-2010,31-12-2099
nifty50,EICHERMOT,01-04-2016,31-12-2099
nifty50,ETERNAL,30-09-2025,31-12-2099
nifty50,GAIL,01-01-2010,31-03-2021
nifty50,GRASIM,01-01-2010,08-04-2010
nifty50,GRASIM,25-03-2011,26-05-2017
nifty50,GRASIM,28-09-2018,31-12-2099
nifty50,HCLTECH,01-01-2010,31-12-2099
nifty50,HDFC,01-01-2010,13-07-2023
nifty50,HDFCBANK,01-01-2010,31-12-2099
nifty50,HDFCLIFE,31-07-2020,31-12-2099
nifty50,HEROMOTOCO,01-01-2010,30-09-2025
nifty50,HINDALCO,01-01-2010,31-12-2099
nifty50,HINDPETRO,29-09-2017,29-03-2019
nifty50,HINDUNILVR,01-01-2010,31-12-2099
nifty50,IBULHSGFIN,31-03-2017,27-09-2019
nifty50,ICICIBANK,01-01-2010,31-12-2099
nifty50,IDFC,01-01-2010,29-05-2015
nifty50,IDEA,01-01-2010,01-10-2010
nifty50,IDEA,27-03-2015,26-05-2017
nifty50,INDIGO,30-09-2025,31-12-2099
nifty50,INDUSINDBK,01-04-2013,30-09-2025
nifty50,INFY,01-01-2010,31-12-2099
nifty50,IOC,26-05-2017,31-03-2022
nifty50,ITC,01-01-2010,31-12-2099
nifty50,JINDALSTEL,01-01-2010,27-03-2015
nifty50,JIOFIN,28-03-2025,31-12-2099
nifty50,JPASSOCIAT,01-01-2010,28-03-2014
nifty50,JSWSTEEL,28-09-2018,31-12-2099
nifty50,KOTAKBANK,08-04-2010,31-12-2099
nifty50,LT,01-01-2010,31-12-2099
nifty50,LTIM,13-07-2023,30-09-2024
nifty50,LUPIN,28-09-2012,28-09-2018
nifty50,M&M,01-01-2010,31-12-2099
nifty50,MARUTI,01-01-2010,31-12-2099
nifty50,MAXHEALTH,30-09-2025,31-12-2099
nifty50,MCDOWELL-N,28-03-2014,19-09-2014
nifty50,NESTLEIND,27-09-2019,31-12-2099
nifty50,NMDC,01-04-2013,28-09-2015
nifty50,NTPC,01-01-2010,31-12-2099
nifty50,ONGC,01-01-2010,31-12-2099
nifty50,PNB,01-01-2010,01-04-2016
nifty50,POWERGRID,01-01-2010,31-12-2099
nifty50,RANBAXY,01-01-2010,28-03-2014
nifty50,RCOM,01-01-2010,27-04-2012
nifty50,RELCAPITAL,01-01-2010,10-10-2011
nifty50,RELIANCE,01-01-2010,31-12-2099
nifty50,RELINFRA,01-01-2010,27-09-2013
nifty50,RPOWER,01-01-2010,27-04-2012
nifty50,SAIL,01-01-2010,28-09-2012
nifty50,SBILIFE,25-09-2020,31-12-2099
nifty50,SBIN,01-01-2010,31-12-2099
nifty50,SHREECEM,19-03-2020,30-09-2022
nifty50,SHRIRAMFIN,28-03-2024,31-12-2099
nifty50,SIEMENS,01-01-2010,01-04-2013
nifty50,STER,01-01-2010,28-09-2012
nifty50,SUNPHARMA,01-01-2010,31-12-2099
nifty50,SUZLON,01-01-2010,25-03-2011
nifty50,TATACONSUM,31-03-2021,31-12-2099
nifty50,TATAMOTORS,01-01-2010,31-12-2099
nifty50,TATAPOWER,01-01-2010,29-09-2017
nifty50,TATASTEEL,01-01-2010,31-12-2099
nifty50,TCS,01-01-2010,31-12-2099
nifty50,TECHM,28-03-2014,31-12-2099
nifty50,TITAN,28-09-2018,31-12-2099
nifty50,TRENT,30-09-2024,31-12-2099
nifty50,ULTRACEMCO,28-09-2012,31-12-2099
nifty50,UNITECH,01-01-2010,01-10-2010
nifty50,UPL,29-09-2017,28-03-2024
nifty50,VEDL,01-10-2010,01-04-2016
nifty50,VEDL,26-05-2017,31-07-2020
nifty50,WIPRO,01-01-2010,01-04-2013
nifty50,WIPRO,27-09-2013,31-12-2099
nifty50,YESBANK,27-03-2015,19-03-2020
nifty50,ZEEL,19-09-2014,25-09-2020
